,Suburb,Site,Exposure period,Notes,Date added,Health advice,date_exposure,date_added,tier,date_delay
99,Suburb Brighton,Site Brighton Beach Hotel 4 The Esplanade Brighton VIC 3186,Exposure period 23/05/2021 3:09pm - 4:52pm,Notes Case attended venue,Date added 30/05/2021 7:27pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-30,2,7
100,Suburb Bus Route,Site PTV Bus Number 412 Central Square Shopping Centre/Merton Stop to Footscray Station Bus Route VIC,Exposure period 26/05/2021 5:37am - 6:25am,"Notes Case travelled on public transport from Footscray Station to Emu Road/Hampstead Road, Maidstone",Date added 30/05/2021 7:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
101,Suburb Bus Route,Site PTV Bus Number 406 Emu Road/Smith Street to Footscray Station Bus Route VIC,Exposure period 26/05/2021 1:27pm - 1:44pm,Notes Case travelled on public transport from Emu Road/Smith Street to Footscray Station,Date added 30/05/2021 7:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
102,Suburb Bus Route,Site PTV Bus Number 406 Footscray Station to Emu Road/Hampstead Road (Maidstone) Bus Route VIC,Exposure period 26/05/2021 6:34am - 6:50am,"Notes Case travelled on public transport from Footscray Station to Emu Road/Hampstead Road, Maidstone",Date added 30/05/2021 7:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
103,Suburb Cranbourne,Site Gami Rasa Restaurant 19 Hotham Street Cranbourne VIC 3977,Exposure period 21/05/2021 6:00pm - 7:50pm,Notes Case attended venue,Date added 30/05/2021 7:24pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-21,2021-05-30,2,9
104,Suburb Epping,Site JMD Grocers & Sweets 768 High Street Epping VIC 3076,Exposure period 22/05/2021 5:00pm - 5:45pm,Notes Case attended venue,Date added 30/05/2021 6:25pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-22,2021-05-30,1,8
105,Suburb Epping,Site JMD Grocers & Sweets 768 High Street Epping VIC 3076,Exposure period 24/05/2021 3:50pm - 4:35pm,Notes Case attended venue,Date added 30/05/2021 6:25pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-24,2021-05-30,1,6
106,Suburb Epping,Site JMD Grocers & Sweets 768 High Street Epping VIC 3076,Exposure period 17/05/2021 3:50pm - 4:20pm,Notes Case attended venue,Date added 30/05/2021 6:25pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-17,2021-05-30,1,13
107,Suburb Epping,Site JMD Grocers & Sweets 768 High Street Epping VIC 3076,Exposure period 17/05/2021 6:30pm - 7:00pm,Notes Case attended venue,Date added 30/05/2021 6:25pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-17,2021-05-30,1,13
108,Suburb Point Cook,Site Coles Stockland Point Cook Shopping Centre 5 Main Street & Murnong Street Point Cook VIC 3030,Exposure period 26/05/2021 3:30pm - 5:30pm,Notes Case attended venue,Date added 30/05/2021 5:16pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
109,Suburb Point Cook,Site Sanctuary Lakes Shopping Centre 300 Point Cook Road Point Cook VIC 3030,Exposure period 26/05/2021 5:10pm - 6:30pm,Notes Case attended venue,Date added 30/05/2021 5:16pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
110,Suburb Point Cook,Site Aldi Sanctuary Lakes Shopping Centre 300 Point Cook Road Point Cook VIC 3030,Exposure period 26/05/2021 5:10pm - 6:30pm,Notes Case attended venue,Date added 30/05/2021 5:16pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
111,Suburb Bus Route,Site PTV Bus Number 412 Central Square Shopping Centre/Merton Street to Footscray Station Bus Route VIC,Exposure period 27/05/2021 5:40am - 6:25am,Notes Case travelled on public transport from Central Square Shopping Centre Merton Stop to Footscray Station,Date added 30/05/2021 5:16pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-30,1,3
112,Suburb Epping,Site Coles Epping Plaza Shop Q002. High Street Epping VIC 3076,Exposure period 24/05/2021 3:15pm - 4:15pm,Notes Case attend venue,Date added 30/05/2021 5:16pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
113,Suburb Epping,Site Coles Epping Plaza Shop Q002. High Street Epping VIC 3076,Exposure period 19/05/2021 2:50pm - 3:20pm,Notes Case attend venue,Date added 30/05/2021 5:16pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-19,2021-05-30,2,11
114,Suburb Preston,Site H&M (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,Exposure period 22/05/2021 2:30pm - 3:50pm,Notes Case visited story,Date added 30/05/2021 5:16pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-22,2021-05-30,1,8
115,Suburb Doreen,Site Woolworths Laurimar 95 Hazel Glen Drive Doreen VIC 3754,Exposure period 26/05/2021 9:02am - 9:15am,Notes Case attended venue,Date added 30/05/2021 5:16pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
116,Suburb Thomastown,Site Gobind Sweets 6/350 Settlement Road Thomastown VIC 3074,Exposure period 27/05/2021 2:40pm - 3:10pm,Notes Case attended venue,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-27,2021-05-30,2,3
117,Suburb Epping,Site Chemist Warehouse (Epping Homemaker Center) 560-650 High Street Epping VIC 3076,Exposure period 17/05/2021 6:55pm - 7:37pm,Notes Case attended venue,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-17,2021-05-30,2,13
118,Suburb Epping,Site Chemist Warehouse (Epping Homemaker Center) 560-650 High Street Epping VIC 3076,Exposure period 18/05/2021 6:30pm - 7:10pm,Notes Case attended venue,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-18,2021-05-30,2,12
119,Suburb Kalkallo,Site Metricon Homes Kalkallo- Cloverton Display Homes 24 Design Way Kalkallo VIC 3064,Exposure period 22/05/2021 1:15pm - 3:15pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-22,2021-05-30,1,8
120,Suburb Campbellfield,Site Metricon Homes- Campbellfield Office 108 National Blvd Campbellfield VIC 3061,Exposure period 25/05/2021 1:33pm - 2:36pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
121,Suburb Mickleham,Site Metricon Homes- Merrifield Display Homes 15 Carrington Drive Mickleham VIC 3064,Exposure period 25/05/2021 3:29pm - 4:47pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
122,Suburb Mickleham,Site Metricon Homes- Botanical Display Homes 27/29 Poppy St Mickleham VIC 3064,Exposure period 25/05/2021 2:32pm - 3:22pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
123,Suburb Preston,Site Northland Shopping Centre 2-50 Murray Road Preston VIC 3072,Exposure period 22/05/2021 1:15pm - 3:15pm,Notes Case attended,Date added 30/05/2021 3:07pm,"Health advice Tier 3 - Monitor for symptoms Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",2021-05-22,2021-05-30,3,8
124,Suburb Preston,Site McDonalds (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,Exposure period 22/05/2021 1:55pm - 2:40pm,Notes Case attended,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
125,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 26/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
126,Suburb Preston,Site Muffin Break (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,Exposure period 22/05/2021 1:25pm - 2:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
127,Suburb Preston,Site H&M (Northland Shopping Centre) 2-50 Murray Road Preston VIC 3072,Exposure period 22/05/2021 2:30pm - 3:50pm,Notes Visited store,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-22,2021-05-30,1,8
128,Suburb Preston,Site Salsa's Fresh Mex Grill (Northland Shopping Centre) K033/50 Murray Rd Preston VIC 3072,Exposure period 22/05/2021 1:10pm - 2:10pm,Notes Case visited,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
129,Suburb Epping,Site Walker's Donuts Epping (Pacific Epping Shopping Centre) 571-583 High Street Epping VIC 3076,Exposure period 19/05/2021 3:00pm - 3:40pm,Notes Case attended,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-19,2021-05-30,2,11
130,Suburb Epping,Site Commonwealth Bank Australia (CBA) Epping Branch 83-84 Cooper Street & High Street Epping VIC 3076,Exposure period 22/05/2021 11:15pm - 11:55pm,Notes Case visited,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
131,Suburb Lalor,Site Coles Lalor 47-71 May Road Lalor VIC 3075,Exposure period 18/05/2021 3:35pm - 4:25pm,Notes Case shopped,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-18,2021-05-30,2,12
132,Suburb Lalor,Site Woolworths Lalor Hurtle Street Lalor VIC 3075,Exposure period 25/05/2021 3:35pm - 4:25pm,Notes Case shopped,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-30,2,5
133,Suburb Lalor,Site Woolworths Lalor Hurtle Street Lalor VIC 3075,Exposure period 26/05/2021 11:10am - 12:00pm,Notes Case shopped,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
134,Suburb Epping,Site MKS Spices'n Things Epping 1/84-88 Coopers Street Epping VIC 3076,Exposure period 24/05/2021 3:35pm - 4:20pm,Notes Case shopped,Date added 30/05/2021 3:07pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
135,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 17/05/2021 6:00am - 2:30pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-17,2021-05-30,1,13
136,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 18/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-18,2021-05-30,1,12
137,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 20/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-20,2021-05-30,1,10
138,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 21/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-21,2021-05-30,1,9
139,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 24/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-24,2021-05-30,1,6
140,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 25/05/2021 6:00am - 3:00pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
141,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 27/05/2021 6:00am - 2:30pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-30,1,3
142,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 28/05/2021 6:00am - 2:30pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-28,2021-05-30,1,2
143,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 12/05/2021 2:30pm - 11:30pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-12,2021-05-30,1,18
144,Suburb Thomastown,Site Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,Exposure period 13/05/2021 6:00am - 2:30pm,Notes Case attended,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-13,2021-05-30,1,17
145,Suburb Craigieburn,Site Big W Craigieburn 340 Craigieburn Road Craigieburn VIC 3064,Exposure period 20/05/2021 11:30am - 12:30pm,Notes Case attended venue,Date added 30/05/2021 3:07pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-20,2021-05-30,1,10
146,Suburb Bundoora,"Site DFO Uni Hill - Champion, Melrose Avenue, Quiksilver, Factorie and Edge 2 Janefield Drive Bundoora VIC 3083",Exposure period 25/05/2021 2:47pm - 4:07pm,Notes Case attended,Date added 30/05/2021 2:17pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-30,2,5
147,Suburb Epping,"Site Coles Epping Plaza Shop Q002, Epping Plaza, High Street Epping VIC 3076",Exposure period 19/05/2021 2:50pm - 3:20pm,Notes Case attended,Date added 30/05/2021 2:17pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-19,2021-05-30,2,11
148,Suburb Doreen,Site Laurimar Medical Centre 120 - 122 Painted Hills Road Doreen VIC 3754,Exposure period 25/05/2021 10:15am - 11:10am,Notes Case attended,Date added 30/05/2021 2:17pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-25,2021-05-30,2,5
149,Suburb Craigieburn,Site Ambarsari Dhaba 3/38 Craigieburn Road Craigieburn VIC 3064,Exposure period 26/05/2021 7:20pm - 8:00pm,Notes Case collected take away,Date added 30/05/2021 2:17pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
150,Suburb Hawthorn,Site Short Straw 743B Glenferrie Road Hawthorn VIC 3122,Exposure period 23/05/2021 11:20am - 2:20pm,Notes Case attended,Date added 30/05/2021 1:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-23,2021-05-30,1,7
151,Suburb Craigieburn,Site PTV Bus Number 525 Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street Craigieburn VIC 3064,Exposure period 19/05/2021 3:15pm - 4:45pm,Notes From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,Date added 30/05/2021 1:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-19,2021-05-30,1,11
152,Suburb Craigieburn,Site PTV Bus Number 525 Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street Craigieburn VIC 3064,Exposure period 25/05/2021 3:15pm - 4:45pm,Notes From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,Date added 30/05/2021 1:27pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
153,Suburb Epping,Site Kmart Epping Epping Plaza Shopping Center. Cnr High & Cooper Street Epping VIC 3076,Exposure period 22/05/2021 4:40pm - 5:30pm,Notes Case attended venue,Date added 30/05/2021 1:11pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-22,2021-05-30,2,8
154,Suburb Epping,Site Kmart Epping Epping Plaza Shopping Center. Cnr High & Cooper Street Epping VIC 3076,Exposure period 26/05/2021 3:20pm - 4:10pm,Notes Case attended venue,Date added 30/05/2021 1:11pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-30,2,4
155,Suburb Epping,"Site Coles Epping Plaza Shop Q002, Epping Plaza, High Street Epping VIC 3076",Exposure period 24/05/2021 3:15pm - 4:15pm,Notes Case attended venue,Date added 30/05/2021 1:11pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-24,2021-05-30,2,6
156,Suburb Kalkallo,Site Metricon Homes Kalkallo- Cloverton Display Homes 24 Design Way Kalkallo VIC 3064,Exposure period 26/05/2021 2:25pm - 5:28pm,Notes Case attended,Date added 30/05/2021 9:05am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-30,1,4
157,Suburb Arthurs Seat,Site Enchanted Adventure Garden 55 Purves Road Arthurs Seat VIC 3936,Exposure period 21/05/2021 11:25am - 3:00pm,Notes Case attended,Date added 30/05/2021 8:59am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-21,2021-05-30,1,9
158,Suburb Bundoora,"Site IGA Agora Express (La Trobe University) La Trobe University, Melbourne Campus, Shop 1 Agora East, Bundoora VIC 3083 Bundoora VIC 3083",Exposure period 25/05/2021 11:20am - 12:15pm,Notes Case attended,Date added 30/05/2021 1:56am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-25,2021-05-30,1,5
159,Suburb Malvern East (Chadstone),Site Bakers Delight - Chadstone Shopping Centre 247C/ 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,Exposure period 26/05/2021 12:40pm - 12:45pm,Notes Case shopped at store,Date added 29/05/2021 11:08pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-29,2,3
160,Suburb Malvern East (Chadstone),Site Woolworths - Chadstone Shopping Centre 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,Exposure period 26/05/2021 1:16pm - 1:56pm,Notes Case shopped in store,Date added 29/05/2021 11:02pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-29,2,3
161,Suburb St Kilda,Site McDonalds St Kilda 32 The Esplanade St Kilda VIC 3182,Exposure period 27/05/2021 4:10pm - 4:40pm,Notes Case picked up take away,Date added 29/05/2021 9:40pm,"Health advice Tier 3 - Monitor for symptoms Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",2021-05-27,2021-05-29,3,2
162,Suburb St Kilda,Site Woolworths 64 Fitzroy Street St Kilda VIC 3182,Exposure period 27/05/2021 3:00pm - 3:30pm,Notes Case shopped at store,Date added 29/05/2021 9:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-27,2021-05-29,2,2
163,Suburb St Kilda,Site KFC St Kilda 70A Acland Street St Kilda VIC 3182,Exposure period 27/05/2021 4:20pm - 4:50pm,Notes Case picked up take away,Date added 29/05/2021 9:40pm,"Health advice Tier 3 - Monitor for symptoms Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",2021-05-27,2021-05-29,3,2
164,Suburb St Kilda,Site Woolworths 117 Acland Street St Kilda VIC 3182,Exposure period 28/05/2021 5:00pm - 5:30pm,Notes Case shopped in store,Date added 29/05/2021 9:40pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-28,2021-05-29,2,1
165,Suburb South Yarra,Site Forvic Asian Supermarket 251 Malvern Road South Yarra VIC 3141,Exposure period 23/05/2021 5:00pm - 6:00pm,Notes Case shopped at store,Date added 29/05/2021 9:00pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-05-29,2,6
166,Suburb Malvern East (Chadstone),Site Chadstone Shopping Centre 1341 Dandenong Road Malvern East (Chadstone) VIC 3148,Exposure period 26/05/2021 11:53am - 2:00pm,Notes Case walked around venue: Ground floor all areas. Lower ground floor: area immediately surrounding escalators outside Target only,Date added 29/05/2021 8:26pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-26,2021-05-29,2,3
